Order Date,City,Product ID,SalesQtyTotal,SalesAmtTotal,DisAmtTotal,ProfAmtTotal,CostAmt
2014-01-03,Houston,OFF-PA-10000174,2,16.448,0.2,5.551199999999998,10.896800000000002
2014-01-04,Naperville,OFF-BI-10004094,2,3.539999999999999,0.8,-5.487,9.027
2014-01-04,Naperville,OFF-LA-10003223,3,11.784,0.2,4.271699999999999,7.5123000000000015
2014-01-04,Naperville,OFF-ST-10002743,3,272.736,0.2,-64.77480000000001,337.5108
2014-01-05,Philadelphia,OFF-AR-10003478,3,19.536,0.2,4.884,14.652000000000001
2014-01-06,Athens,OFF-AR-10002399,3,12.78,0.0,5.2398,7.5402
2014-01-06,Henderson,FUR-CH-10004063,9,2573.82,0.0,746.4077999999997,1827.4122000000004
2014-01-06,Henderson,OFF-AR-10001662,2,5.48,0.0,1.4796000000000005,4.0004
2014-01-06,Henderson,OFF-BI-10004632,2,609.98,0.0,274.491,335.48900000000003
2014-01-06,Henderson,OFF-FA-10001883,4,31.12,0.0,0.3111999999999995,30.8088
2014-01-06,Henderson,OFF-PA-10000955,1,6.54,0.0,3.0084,3.5316
2014-01-06,Henderson,TEC-PH-10004539,4,755.96,0.0,204.1092,551.8508
2014-01-06,Henderson,TEC-PH-10004977,2,391.98,0.0,113.67419999999998,278.30580000000003
2014-01-06,Los Angeles,OFF-PA-10002005,3,19.44,0.0,9.3312,10.1088
2014-01-07,Huntsville,FUR-FU-10004864,3,76.72800000000001,0.6,-53.70959999999999,130.4376
2014-01-07,Huntsville,OFF-BI-10003708,7,10.429999999999998,0.8,-18.252500000000005,28.682500000000005
2014-01-09,Laredo,OFF-AR-10004078,2,9.344,0.2,1.1679999999999997,8.176
2014-01-09,Laredo,TEC-AC-10001266,3,31.200000000000003,0.2,9.749999999999996,21.450000000000006
2014-01-10,Springfield,FUR-FU-10000965,1,51.94,0.0,21.2954,30.644599999999997
2014-01-10,Springfield,OFF-LA-10004272,1,2.89,0.0,1.3583,1.5317
2014-01-11,Dover,FUR-FU-10000010,2,9.94,0.0,3.0813999999999995,6.8586
2014-01-13,Bossier City,OFF-BI-10004187,3,5.64,0.0,2.7071999999999994,2.9328000000000003
2014-01-13,Bossier City,OFF-EN-10001532,3,50.94,0.0,25.47,25.47
2014-01-13,Bossier City,OFF-EN-10001990,2,11.36,0.0,5.339199999999999,6.0208
2014-01-13,Bossier City,OFF-ST-10000025,6,572.58,0.0,34.354799999999955,538.2252000000001
2014-01-13,Bossier City,TEC-AC-10003174,6,646.74,0.0,258.696,388.044
2014-01-13,Mount Pleasant,FUR-CH-10000422,6,545.9399999999999,0.0,87.35040000000004,458.5895999999999
2014-01-13,Newark,OFF-BI-10003476,2,3.4380000000000006,0.7,-2.5212000000000003,5.959200000000001
