Order Date,Customer ID,City,Product ID,SalesQtyTotal,SalesAmtTotal,DisAmtTotal,ProfAmtTotal
2014-01-03,DP-13000,Houston,OFF-PA-10000174,2,16.448,0.2,5.551199999999998
2014-01-04,PO-19195,Naperville,OFF-BI-10004094,2,3.539999999999999,0.8,-5.487
2014-01-04,PO-19195,Naperville,OFF-LA-10003223,3,11.784,0.2,4.271699999999999
2014-01-04,PO-19195,Naperville,OFF-ST-10002743,3,272.736,0.2,-64.77480000000001
2014-01-05,MB-18085,Philadelphia,OFF-AR-10003478,3,19.536,0.2,4.884
2014-01-06,JO-15145,Athens,OFF-AR-10002399,3,12.78,0.0,5.2398
2014-01-06,LS-17230,Los Angeles,OFF-PA-10002005,3,19.44,0.0,9.3312
2014-01-06,ME-17320,Henderson,FUR-CH-10004063,9,2573.82,0.0,746.4077999999997
2014-01-06,ME-17320,Henderson,OFF-AR-10001662,2,5.48,0.0,1.4796000000000005
2014-01-06,ME-17320,Henderson,OFF-BI-10004632,2,609.98,0.0,274.491
2014-01-06,ME-17320,Henderson,OFF-FA-10001883,4,31.12,0.0,0.3111999999999995
2014-01-06,ME-17320,Henderson,OFF-PA-10000955,1,6.54,0.0,3.0084
2014-01-06,ME-17320,Henderson,TEC-PH-10004539,4,755.96,0.0,204.1092
2014-01-06,ME-17320,Henderson,TEC-PH-10004977,2,391.98,0.0,113.67419999999998
2014-01-07,VS-21820,Huntsville,FUR-FU-10004864,3,76.72800000000001,0.6,-53.70959999999999
2014-01-07,VS-21820,Huntsville,OFF-BI-10003708,7,10.429999999999998,0.8,-18.252500000000005
2014-01-09,MS-17830,Laredo,OFF-AR-10004078,2,9.344,0.2,1.1679999999999997
2014-01-09,MS-17830,Laredo,TEC-AC-10001266,3,31.200000000000003,0.2,9.749999999999996
2014-01-10,AJ-10780,Springfield,FUR-FU-10000965,1,51.94,0.0,21.2954
2014-01-10,AJ-10780,Springfield,OFF-LA-10004272,1,2.89,0.0,1.3583
2014-01-11,SV-20365,Dover,FUR-FU-10000010,2,9.94,0.0,3.0813999999999995
2014-01-13,BD-11605,San Francisco,FUR-BO-10003034,3,333.99899999999997,0.15,3.929400000000008
2014-01-13,BD-11605,San Francisco,OFF-AR-10003514,5,19.9,0.0,6.566999999999998
2014-01-13,BD-11605,San Francisco,OFF-ST-10000078,5,1325.8500000000001,0.0,238.6529999999999
2014-01-13,CS-12250,Bossier City,OFF-BI-10004187,3,5.64,0.0,2.7071999999999994
2014-01-13,CS-12250,Bossier City,OFF-EN-10001532,3,50.94,0.0,25.47
2014-01-13,CS-12250,Bossier City,OFF-EN-10001990,2,11.36,0.0,5.339199999999999
2014-01-13,CS-12250,Bossier City,OFF-ST-10000025,6,572.58,0.0,34.354799999999955
2014-01-13,CS-12250,Bossier City,TEC-AC-10003174,6,646.74,0.0,258.696
2014-01-13,MM-17920,Newark,OFF-BI-10003476,2,3.4380000000000006,0.7,-2.5212000000000003
2014-01-13,MM-17920,Newark,OFF-PA-10002947,7,37.408,0.2,13.0928
2014-01-13,ND-18370,Mount Pleasant,FUR-CH-10000422,6,545.9399999999999,0.0,87.35040000000004
2014-01-14,BS-11590,Philadelphia,FUR-BO-10003433,4,61.96,0.5,-53.28560000000001
2014-01-15,EH-13990,Roswell,TEC-AC-10003628,5,149.95,0.0,65.97800000000001
2014-01-16,DL-13315,Philadelphia,FUR-FU-10001095,6,127.10400000000001,0.2,28.598399999999998
2014-01-16,DL-13315,Philadelphia,OFF-BI-10001575,2,18.588000000000005,0.7,-13.6312
2014-01-16,DL-13315,Philadelphia,OFF-LA-10001074,3,30.072000000000003,0.2,10.149299999999997
2014-01-16,DL-13315,Philadelphia,TEC-PH-10004614,3,124.19999999999999,0.4,-31.05000000000001
2014-01-18,DW-13195,Springfield,OFF-AP-10000692,4,64.864,0.2,6.486400000000003
2014-01-19,TS-21340,Scottsdale,FUR-BO-10001972,5,181.47000000000003,0.7,-320.597
2014-01-19,TS-21340,Scottsdale,OFF-BI-10003676,10,32.34,0.7,-23.716
2014-01-19,TS-21340,Scottsdale,OFF-EN-10002504,5,108.72,0.2,36.693
2014-01-19,TS-21340,Scottsdale,OFF-PA-10000659,4,56.064,0.2,19.6224
2014-01-20,HL-15040,Jonesboro,FUR-CH-10002331,3,1067.94,0.0,224.2673999999999
2014-01-20,HL-15040,Jonesboro,FUR-FU-10003194,4,38.6,0.0,11.579999999999998
2014-01-20,HL-15040,Jonesboro,OFF-AR-10002375,7,22.959999999999997,0.0,6.658399999999997
2014-01-20,HL-15040,Jonesboro,OFF-AR-10003811,3,6.63,0.0,1.7901
